排名,中文名,日文名,英文名,综合评分,海报图片,横幅图片,ANILIST_评分,ANILIST_投票数,ANILIST_排名,BANGUMI_评分,BANGUMI_投票数,BANGUMI_排名,FILMARKS_评分,FILMARKS_投票数,FILMARKS_排名,IMDB_评分,IMDB_投票数,IMDB_排名,MAL_评分,MAL_投票数,MAL_排名
11,彻夜之歌 第二季,よふかしのうた Season 2,Call of the Night Season 2,0.912,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx175914-VsbL90WzuqoM.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/175914-K0Hw6bg3Tf5i.jpg,8.1,3066,9,7.7,1054,5,7.4,537,34,7.4,5113,26,8.26,12647,9
12,琉璃的宝石,瑠璃の宝石,Ruri Rocks,0.9,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180929-ytdzqbrOhots.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/180929-HUn5e8gpygL8.jpg,7.4,1446,21,7.7,1743,6,8.6,513,6,8.1,90,12,7.68,4745,21
13,小城日常,CITY THE ANIMATION,CITY THE ANIMATION,0.783,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx181841-9TcjIyZefot2.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/181841-aegccbKnNjxK.jpg,7.7,1966,15,7.4,2394,8,7.8,575,22,7.7,165,18,7.83,5802,18
14,克雷瓦提斯-魔兽之王与婴儿与尸之勇者-,クレバテス-魔獣の王と赤子と屍の勇者-,Clevatess,0.777,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178869-qiEz0gQD8H5N.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178869-ZFn0hKphaLtk.jpg,7.6,2314,18,6.9,764,22,8.0,205,18,8.1,577,13,7.91,11688,16
15,咔嗒咔嗒,ガチアクタ,Gachiakuta,0.763,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178025-cWJKEsZynkil.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178025-KH3NSrRChfGy.jpg,7.8,5613,13,5.8,367,37,8.0,891,19,8.3,2553,8,8.07,25757,12
16,怪兽8号 第二季,怪獣８号 第２期,Kaiju No. 8 Season 2,0.76,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178754-Dgrub8xgC03M.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178754-pzQw3EJ0DYO9.jpg,7.8,2999,14,5.8,319,38,8.2,877,13,8.3,24050,9,7.92,14177,15
17,石纪元 科学与未来 第2部分,Dr.STONE SCIENCE FUTURE 2クール,Dr. STONE SCIENCE FUTURE Cour 2,0.699,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx189117-EJQHOFjLoK2k.png,,8.0,2280,11,7.1,303,15,6.6,570,50,7.4,157,27,8.22,10301,10
18,Silent Witch 沉默魔女的秘密,サイレント・ウィッチ 沈黙の魔女の隠しごと,Secrets of the Silent Witch,0.652,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179966-g0EU7rVe2Og7.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/179966-hf71VrF1zhPM.jpg,7.7,2833,16,7.1,1856,16,7.8,554,23,7.0,304,42,7.99,11973,13
19,坂本日常 第2部分,SAKAMOTO DAYS 第２クール,SAKAMOTO DAYS Part 2,0.599,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184237-OJAksU2fsIPx.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/184237-SBj6UJvIWAOg.jpg,7.7,2322,17,6.0,247,33,8.0,773,20,7.3,16,32,7.88,11024,17
20,拔作岛,ぬきたし THE ANIMATION,Nukitashi THE ANIMATION,0.528,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx174188-fZg8iePD9Dca.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/174188-zHfBIXSeesMT.jpg,6.8,900,29,7.9,2789,2,9.2,100,1,6.9,187,45,7.34,52572,26
21,放学后少年花子君 续篇,地縛少年花子くん２ 後編,Toilet-Bound Hanako-kun Season 2 Part 2,0.447,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx189326-kaYdWFxyyYdx.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/189326-QgANtHkolp8i.jpg,7.5,627,19,6.1,316,31,7.8,131,24,7.5,3326,24,7.93,2618,14
22,转生为第七王子，随心所欲的魔法学习之路 第二季,転生したら第七王子だったので、気ままに魔術を極めます 第2期,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,0.411,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178090-1OOScJqXLjRd.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178090-EgKftuHoDJB7.jpg,7.5,1582,20,7.0,424,20,8.2,312,14,6.8,2052,48,7.64,6446,22
23,和雨和你,雨と君と,With You and the Rain,0.381,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180425-e5yNWog1hDuu.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/180425-l3CldufhygVc.jpg,7.1,895,26,6.9,530,23,7.6,451,29,7.8,102,17,7.45,3756,25
24,帝乃三姐妹原来很好搞定。,帝乃三姉妹は案外、チョロい。,Dealing with Mikadono Sisters Is a Breeze,0.299,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178886-KjzSXyEB61zX.jpg,,7.3,1313,23,6.3,363,28,7.2,223,39,7.7,164,19,7.59,5597,23
25,明日方舟：焰烬曙明,アークナイツ【焔燼曙明/RISE FROM EMBER】,Arknights: Rise from Ember,0.296,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177175-cr5tlJIj7dEi.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/177175-8obfhwGOFXuk.jpg,7.3,440,24,6.3,202,29,3.4,43,68,7.1,50,39,7.7,1615,20
26,明天，美食广场见。,フードコートで、また明日。,See You Tomorrow at the Food Court,0.237,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185519-cuRKYBlZ3uWw.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185519-WRtGn9JOriG8.jpg,6.8,868,30,7.2,1270,11,7.8,297,25,6.6,29,53,7.02,2561,36
27,我怎么可能成为你的恋人，不行不行！(※不是不可能！？),わたしが恋人になれるわけないじゃん、ムリムリ! (※ムリじゃなかった!?),There's No Freaking Way I'll Be Your Lover! Unless...,0.225,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184591-jRXZ29bN61Zc.jpg,,7.4,1743,22,7.2,1955,12,8.2,220,15,8.1,109,14,6.16,5386,62
28,银河特急 银河☆地铁,銀河特急 ミルキー☆サブウェイ,Milky☆Subway: The Galactic Limited Express,0.18,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx189069-mDKZPNUNKFOD.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/189069-t19Ag9Tqyy8Q.jpg,6.5,207,38,6.7,146,25,8.8,221,5,8.2,15,10,6.92,619,40
29,盾之勇者成名录 第四季,盾の勇者の成り上がり Season 4,The Rising of the Shield Hero Season 4,0.146,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx173780-O7v1YfXg61JT.png,,7.1,1835,27,5.5,199,44,7.8,201,26,7.7,21104,20,7.34,7724,27
30,Fei Ren Zai 3rd Season,非人哉 第三季,Non-Human,0.145,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx195886-fbClZwAQm4NR.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/120055-ac6f9OLH40Yj.jpg,6.2,123,47,7.1,21,17,6.8,373,46,8.5,6099,6,7.16,1168,32
31,去K歌吧！,カラオケ行こ！,Let's Go Karaoke!,0.137,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx183127-NuhBFFae2NYe.jpg,,6.4,205,43,6.3,59,30,8.4,336,9,7.3,17,33,7.28,797,28
32,Shin Kidou Senki Gundam Wing: Operation 30th,【30周年記念映像】新機動戦記ガンダムW-operation30th-,Mobile Suit Gundam Wing 30th Anniversary Video: Operation 30th,0.015,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx196482-LsLzWVLJThXc.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/196482-dMdm6A9A9SP1.jpg,6.9,206,28,,,,7.8,1223,27,,,,6.81,115,43
33,Douluo Dalu: Jiandao Chen Xin,斗罗大陆剧场版 剑道尘心,,0.001,,,,,,5.2,18,51,7.4,102,35,,,,7.15,124,33
34,与游戏中心的少女异文化交流的故事,ゲーセン少女と異文化交流,Cultural Exchange With a Game Centre Girl,-0.008,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180794-rQGxkguEc2ov.png,,6.5,837,39,7.0,1322,21,7.4,129,36,7.5,75,25,6.84,3190,42
35,欢迎光临流放者食堂！,追放者食堂へようこそ！,Welcome to the Outcast's Restaurant!,-0.022,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185544-V9XoC8yJ906f.jpg,,6.7,1011,34,5.9,438,35,7.6,236,30,7.7,83,21,7.19,4596,31
36,不良少女,ばっどがーる,Bad Girl,-0.096,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178675-cTYMOedSpXsJ.jpg,,6.5,722,40,6.7,1009,26,7.6,174,31,6.5,33,56,6.79,2519,44
37,地狱老师 OVA,地獄先生ぬ～べ～,Hell Teacher: Jigoku Sensei Nube,-0.172,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/2012.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/2012-8BtBvNe85st0.jpg,7.2,1029,25,6.8,22,24,7.2,493,40,7.3,47,34,6.68,1853,48
38,歌声是千层派,うたごえはミルフィーユ,Harmony of Mille-Feuille,-0.193,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx166215-3GkidWAYu5cr.png,,5.3,109,62,5.4,298,48,7.0,69,43,8.5,522056,7,6.13,315,64
39,最近的侦探真没用,まったく最近の探偵ときたら,Detectives These Days Are Crazy!,-0.222,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180460-rZn4pp9YNqW0.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/180460-Id13IZ4FSBuf.jpg,6.7,1032,35,6.4,743,27,7.4,226,37,6.1,122,61,7.13,4280,34
40,噗妮露是可爱史莱姆 第二季,ぷにるはかわいいスライム 第2期,Puniru is a Kawaii Slime Season 2,-0.224,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185755-xMle6RCAPwA6.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185755-moB5bSDuJNm7.jpg,6.1,152,51,7.4,570,9,7.4,411,38,5.7,105,62,7.01,467,37
41,水属性的魔法师,水属性の魔法使い,The Water Magician,-0.33,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx186052-zq8h0Qo0O0sP.jpg,,6.8,2520,31,5.5,493,45,6.2,192,57,7.1,334,40,7.22,11472,29
42,衣衫褴褛的大小姐受到姐姐前未婚夫的宠爱,ずたぼろ令嬢は姉の元婚約者に溺愛される,Betrothed to My Sister's Ex,-0.342,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179879-569v3MdQeVmt.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/179879-LLw7UPZcd22x.jpg,6.8,805,32,4.7,78,63,6.4,145,54,7.6,92,23,7.2,3798,30
43,桃源暗鬼,桃源暗鬼,TOUGEN ANKI,-0.355,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177474-oHil1yLWldfl.jpg,,6.8,1619,33,5.1,135,53,7.2,530,41,6.9,466,46,7.03,7134,35
44,Long Zu II: Daowangzhe Zhi Tong,龙族Ⅱ：悼亡者之瞳,Dragon Raja II -The Mourner's Eyes-,-0.421,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx157692-lihmnuJGcbM6.png,,6.5,125,41,4.1,57,65,5.8,279,62,7.7,1990,22,7.59,414,24
45,异世界默示录米诺戈拉 ～从灭亡的文明开始的世界征服～,異世界黙示録マイノグーラ ～破滅の文明で始める世界征服～,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,-0.439,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178433-8KzNsjTmdAvw.jpg,,6.7,1488,36,5.5,258,46,5.8,78,63,7.3,179,35,6.99,7034,39
46,杜鹃的婚约 第二季,カッコウの許嫁 Season2,A Couple of Cuckoos Season 2,-0.441,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179828-Yc1b1R2dxQyc.jpg,,6.7,836,37,5.1,141,54,7.2,145,42,6.8,2353,49,7.01,3700,38
47,利维坦号战记,リヴァイアサン,Leviathan,-0.501,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177887-CDAgIrZOQvZc.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/177887-wGy2HdlQdS9G.jpg,6.5,505,42,4.9,59,58,7.8,157,28,6.6,426,54,6.88,1663,41
48,阿松 第四季,おそ松さん 第4期,Mr. Osomatsu 4th Season,-0.623,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx145985-yIeSw33Stvnx.jpg,,4.8,63,65,5.5,28,47,7.6,220,32,7.4,500,28,6.65,352,50
49,SUGAR SUGAR RUNE: Les deux sorcières,SUGAR SUGAR RUNE: Les deux sorcières,Sugar Sugar Rune: Les deux sorcières,-0.625,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx195517-7rdcy3jbuW81.jpg,,6.3,133,44,5.6,19,42,6.8,1,47,,,,6.79,287,45
50,保龄球少女！,Turkey!,Turkey! Time to Strike,-0.649,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx159483-nQKJ2EEqoo8x.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/159483-XG5lHavBPS0w.jpg,5.8,576,60,6.0,764,34,7.6,200,33,6.5,26,57,6.27,1601,60
51,禁止出入的鼹鼠,出禁のモグラ,Dekin no Mogura: The Earthbound Mole,-0.65,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184574-Mb2qvX1e3RgG.jpg,,5.7,438,61,5.9,194,36,8.0,325,21,7.0,54,43,6.15,1611,63
52,公爵千金的家庭教师,公女殿下の家庭教師,Private Tutor to the Duke's Daughter,-0.653,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx170113-dk9h9ybZnGnZ.jpg,,6.3,1069,45,5.8,524,39,5.4,99,64,7.4,110,29,6.65,4281,51
53,费马的料理,フェルマーの料理,Fermat Kitchen,-0.654,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx186003-scKw8JoTtnMT.jpg,,6.2,370,48,4.9,209,59,7.0,155,44,7.2,343,36,6.66,1429,49
54,肥宅勇者,ブサメンガチファイター,"Uglymug, Epicfighter",-0.721,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184575-hEzI5V8o818U.png,,6.1,800,52,5.7,452,40,6.2,115,58,7.2,96,37,6.49,3988,55
55,为丑女献上花束。,ブスに花束を。,April Showers Bring May Flowers,-0.733,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx156395-LW98bhT54IuM.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/156395-V60PSAOKauDU.jpg,6.2,543,49,5.2,180,52,6.6,200,51,6.8,33,50,6.69,2079,46
56,双人单身露营,ふたりソロキャンプ,Solo Camping for Two,-0.785,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185965-LlzTLSTBUbEA.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185965-9YtD3BC30w26.jpg,6.1,727,53,5.6,184,43,6.4,131,55,6.4,41,59,6.52,2428,53
57,气绝勇者与暗杀公主,気絶勇者と暗殺姫,The Shy Hero and the Assassin Princesses,-0.804,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx186561-9qIZCSTYkAfw.jpg,,6.1,817,54,5.7,321,41,5.0,48,66,6.9,106,47,6.37,3988,58
58,强者的新传说,強くてニューサーガ,New Saga,-0.875,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx155838-0zx6MTeoo5sk.jpg,,6.3,1116,46,5.4,176,49,5.2,88,65,6.6,155,55,6.69,4909,47
59,转生成自动贩卖机的我今天也在迷宫徘徊 第二季,自動販売機に生まれ変わった俺は迷宮を彷徨う 2nd Season,"Reborn as a Vending Machine, I Now Wander the Dungeon Season 2",-0.897,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx169440-MhlOxaIyASRu.jpg,,6.2,809,50,5.1,129,55,6.6,102,52,6.3,1045,60,6.6,3525,52
60,活死喵之夜,ニャイト・オブ・ザ・リビングキャット,Nyaight of the Living Cat,-0.921,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx175124-eDYbn0W5F4to.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/175124-lxJPpMs1JGIc.jpg,6.1,591,55,5.1,208,56,6.8,206,48,6.5,135,58,6.33,2443,59
61,被驱逐出勇者队伍的白魔导师， 被S级冒险者捡到,勇者パーティーを追放された白魔導師、Sランク冒険者に拾われる ～この白魔導師が規格外すぎる～,Scooped Up by an S-Ranked Adventurer,-0.93,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179885-m1nu1QvnRmII.jpg,,6.1,1094,56,4.6,219,64,6.0,133,59,7.4,99,30,6.46,5097,56
62,租借女友 第四季,彼女、お借りします 第4期,Rent-a-Girlfriend Season 4,-0.976,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179344-GQzJfehpQI72.png,,6.0,1430,57,3.5,249,67,8.4,224,10,6.8,10440,51,6.2,6172,61
63,暗芝居 第十五季,闇芝居 十五期,Theatre of Darkness: Yamishibai 15,-0.988,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx194088-lzp3BHNx0tnY.png,,,,,5.0,9,57,6.0,13,60,7.0,1017,44,5.99,178,65
64,美男高校地球防卫部High collar！,美男高校地球防衛部ハイカラ！,Cute High Earth Defense Club Hi-CARA!,-1.029,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx188138-uflx1ZZo5XsE.jpg,,,,,4.8,12,61,6.6,36,53,7.1,149,41,5.98,177,66
65,9-nine- 支配者的王冠,9-nine- Ruler's Crown,,-1.334,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177761-KdJxyWwdBdiS.jpg,,5.2,259,64,4.9,506,60,7.0,91,45,6.8,18,52,5.88,785,67
66,渡君的XX即将崩坏,渡くんの××が崩壊寸前,Watari-kun's ****** Is about to Collapse,-1.37,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx169420-u4wDhHlTfX9P.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/169420-jdvNFYe9Oa4v.jpg,5.9,1055,59,4.8,246,62,5.0,56,67,5.7,120,63,6.38,4424,57
67,杀手旅店,ホテル・インヒューマンズ,Hotel Inhumans,-1.494,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184034-gjIi5TIHJpZv.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/184034-iqhrtWaMTlwA.jpg,6.0,488,58,5.4,161,50,6.0,163,61,4.9,30182,64,6.52,1790,54
68,黑化吧！圣女大人,傷だらけ聖女より報復をこめて,"With Vengeance, Sincerely, Your Broken Saintess",-1.749,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b195209-IwHhCJUcmoK0.jpg,,5.3,176,63,3.9,58,66,6.4,61,56,,,,5.59,911,68
